,Phone Name,Phone Price
0,"Xiaomi 11i 5G (Purple Mist, 128 GB)","₹24,999"
1,"Xiaomi 11i 5G (Stealth Black, 128 GB)","₹26,999"
2,"Xiaomi 11i 5G (Pacific Pearl, 128 GB)","₹24,999"
3,"Xiaomi 11i 5G (Stealth Black, 128 GB)","₹24,999"
4,"Redmi 9A Sport (Carbon Black, 32 GB)","₹7,769"
5,"Redmi 9A (SeaBlue, 32 GB)","₹7,717"
6,"Redmi 9A (Midnight Black, 32 GB)","₹7,724"
7,"Redmi 9A (Nature Green, 32 GB)","₹7,726"
8,"Redmi 9A (Nature Green, 32 GB)","₹8,498"
9,"Redmi 9A (Midnight Black, 32 GB)","₹8,478"
10,"REDMI Note 11T 5G (Aquamarine Blue, 64 GB)","₹18,486"
11,"REDMI Note 11T 5G (Stardust White, 64 GB)","₹17,999"
12,"REDMI Note 11T 5G (Matte black, 128 GB)","₹22,498"
13,"Redmi 9A Sport (Carbon Black, 32 GB)","₹8,418"
14,"Redmi 9A Sport (Coral Green, 32 GB)","₹8,447"
15,"Redmi 9A Sport (Metallic Blue, 32 GB)","₹8,598"
16,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)","₹28,999"
17,"Redmi 9A Sport (Coral Green, 32 GB)","₹7,999"
18,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)","₹18,936"
19,"Xiaomi 11i 5G (Purple Mist, 128 GB)","₹26,999"
20,"MI 11X 5G (COSMIC BLACK, 128 GB)","₹25,475"
21,"Xiaomi 11Lite NE (Vinyl Black, 128 GB)","₹26,187"
22,"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)","₹26,390"
23,"Xiaomi 11Lite NE (Tuscany Coral, 128 GB)","₹28,999"
24,"REDMI NOTE 10 LITE (Glacier White, 128 GB)","₹14,990"
25,"Redmi 9A (Sea Blue, 32 GB)","₹8,488"
26,"Redmi K20 (Carbon Black, 64 GB)","₹22,999"
27,"REDMI Note 11T 5G (Stardust White, 128 GB)","₹22,480"
28,"Redmi Y2 (Blue, 32 GB)","₹10,499"
29,"Redmi 9A Sport (Metallic Blue, 32 GB)","₹7,899"
30,"Mi 11 Lite (Vinyl Black, 128 GB)","₹23,999"
31,"Redmi 7A (Matte Gold, 32 GB)","₹6,999"
32,"Mi 11 Lite (Jazz Blue, 128 GB)","₹23,999"
33,"Mi 10T (Cosmic Black, 128 GB)","₹35,999"
34,"Mi 10i (Pacific Sunrise, 128 GB)","₹23,999"
35,"Redmi Y3 (Prime Black, 32 GB)","₹10,489"
36,"Redmi 7A (Matte Black, 32 GB)","₹6,999"
37,"Redmi 8A Dual (Sky White, 32 GB)","₹8,999"
38,"Mi 10i (Midnight Black, 128 GB)","₹23,990"
39,"Redmi 5A (Grey, 16 GB)","₹6,499"
40,"Redmi 6 (Black, 32 GB)","₹8,999"
41,"Redmi K20 (Flame Red, 128 GB)","₹24,989"
42,"Redmi Note 5 Pro (Gold, 64 GB)","₹16,999"
43,"Mi A2 (Red, 128 GB)","₹20,500"
44,"Redmi Note 4 (Gold, 32 GB)","₹10,999"
45,"Redmi 8A (Sunset Red, 32 GB)","₹7,999"
46,"Redmi Go (Black, 8 GB)","₹5,999"
47,"Redmi Y2 (Gold, 64 GB)","₹13,499"
48,"Redmi 7A (Matte Blue, 16 GB)","₹6,499"
49,"Redmi 8A (Ocean Blue, 32 GB)","₹7,999"
50,"Redmi 9 (Sporty Orange, 64 GB)","₹10,790"
51,"Redmi Note 7 (Ruby Red, 64 GB)","₹14,999"
52,"Redmi Note 7 (Sapphire Blue, 64 GB)","₹14,999"
53,"Redmi 7A (Matte Gold, 16 GB)","₹6,499"
54,"Redmi 8A (Midnight Black, 32 GB)","₹7,999"
55,"Redmi K20 Pro (Glacier Blue, 256 GB)","₹31,999"
56,"Redmi 6 (Gold, 32 GB)","₹8,999"
57,"Redmi 7 (Eclipse Black, 32 GB)","₹8,599"
58,"Xiaomi 11i 5G (Camo Green, 128 GB)","₹24,999"
59,"Xiaomi 11i 5G (Camo Green, 128 GB)","₹26,999"
60,"Xiaomi 11Lite NE (Vinyl Black, 256 GB)","₹35,999"
61,"Xiaomi 11Lite NE (Diamond Dazzle, 256 GB)","₹33,998"
62,"Xiaomi 11Lite NE (Jazz Blue, 256 GB)","₹35,999"
63,"Xiaomi 11Lite NE (Tuscany Coral, 256 GB)","₹35,999"
64,"REDMI Note 10 lite (Glacier White, 64 GB)","₹13,450"
65,"Xiaomi 11i 5G (Pacific Pearl, 128 GB)","₹26,999"
66,"Xiaomi 11i Hypercharge 5G (Camo Green, 128 GB)","₹28,999"
67,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)","₹26,999"
68,"Redmi 9 (Sky Blue, 64 GB)","₹7,498"
69,"Xiaomi 11i Hypercharge 5G (Camo Green, 128 GB)","₹26,999"
70,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)","₹26,999"
71,"Xiaomi 11i Hypercharge 5G (Stealth Black, 128 GB)","₹26,999"
72,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)","₹28,999"
73,"Mi 11X 5G (LUNAR WHITE, 128 GB)","₹31,999"
74,"Redmi 9 (Sky Blue, 128 GB)","₹10,176"
75,"Redmi 9 (Carbon Black, 64 GB)","₹8,935"
76,"Redmi 6 (Blue, 32 GB)","₹8,999"
77,"Redmi 7 (Comet Blue, 32 GB)","₹7,360"
78,"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹14,999"
